datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions
2025-03-11,33.2,40.8,26.0,16.6,0.0,0.0,17.6,Clear
2025-03-12,32.9,40.7,26.4,14.8,0.0,0.0,23.8,Clear
2025-03-13,31.6,39.0,24.4,20.7,0.0,0.0,25.6,Clear
2025-03-14,30.5,38.0,23.5,30.3,0.0,0.0,22.7,Clear
2025-03-15,29.6,37.1,22.8,31.6,0.0,0.0,22.3,Clear
2025-03-16,28.2,35.4,22.3,24.6,0.0,0.0,22.7,Clear
2025-03-17,28.2,36.0,21.1,15.0,0.0,0.0,15.5,Partially cloudy
2025-03-18,29.0,36.1,22.6,22.0,0.0,0.0,21.6,Overcast
2025-03-19,28.6,35.7,22.6,28.7,0.0,0.0,25.2,Partially cloudy
2025-03-20,28.0,35.5,21.2,29.6,0.0,0.0,20.9,Clear
2025-03-21,29.2,37.1,22.1,18.9,0.0,3.2,16.9,Clear
2025-03-22,30.0,37.8,23.1,19.8,0.0,0.0,16.0,Clear
2025-03-23,30.3,38.3,24.0,18.9,0.0,0.0,24.8,Clear
2025-03-24,30.8,39.4,22.8,23.2,0.0,0.0,21.6,Partially cloudy
2025-03-25,29.3,37.9,22.5,23.7,0.0,0.0,26.6,Clear
