datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions
2025-03-11,24.8,31.9,18.4,52.7,0.0,0.0,27.4,Partially cloudy
2025-03-12,25.7,31.9,20.6,59.2,0.4,16.1,19.1,Partially cloudy
2025-03-13,27.7,35.1,20.8,43.5,0.0,16.1,20.2,Partially cloudy
2025-03-14,28.2,35.9,20.8,43.2,0.0,0.0,25.9,Clear
2025-03-15,28.5,35.7,21.1,40.4,0.0,0.0,24.8,Partially cloudy
2025-03-16,28.0,35.4,21.3,37.8,0.0,3.2,22.3,Partially cloudy
2025-03-17,28.4,35.6,21.7,27.7,0.0,6.4,22.7,Partially cloudy
2025-03-18,28.7,36.3,20.7,32.8,0.0,6.5,23.0,Partially cloudy
2025-03-19,28.5,35.4,21.5,37.1,0.0,6.5,22.0,Partially cloudy
2025-03-20,27.9,34.5,22.2,38.0,0.0,9.7,24.5,Partially cloudy
2025-03-21,27.4,34.3,20.8,38.8,0.0,25.8,19.8,Partially cloudy
2025-03-22,27.8,34.6,21.0,43.0,0.0,25.8,19.8,Clear
2025-03-23,28.3,35.6,21.1,42.5,0.0,12.9,22.7,Partially cloudy
2025-03-24,29.7,36.9,22.5,33.6,0.0,9.7,25.2,Partially cloudy
2025-03-25,29.7,36.8,22.4,36.6,0.0,9.7,23.4,Partially cloudy
