datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions
2025-03-11,29.0,36.4,21.5,17.0,0.0,0.0,11.2,Clear
2025-03-12,30.9,38.4,24.6,14.3,0.0,0.0,20.2,Clear
2025-03-13,31.2,38.3,23.9,12.3,0.0,0.0,32.0,Clear
2025-03-14,30.8,37.6,23.4,15.2,0.0,0.0,24.1,Clear
2025-03-15,31.1,38.2,23.8,17.2,0.0,0.0,23.4,Clear
2025-03-16,30.2,36.8,23.9,21.2,0.0,3.2,21.2,Clear
2025-03-17,29.1,35.7,22.8,14.0,0.0,3.2,21.6,Clear
2025-03-18,29.2,36.7,21.9,13.3,0.0,0.0,17.3,Partially cloudy
2025-03-19,30.0,36.8,23.2,11.8,0.0,9.7,16.9,Partially cloudy
2025-03-20,29.7,34.6,23.2,16.5,0.0,9.7,18.7,Partially cloudy
2025-03-21,29.7,36.1,22.8,13.0,0.0,6.5,15.1,Partially cloudy
2025-03-22,30.8,37.6,24.3,15.9,0.1,6.5,11.9,Partially cloudy
2025-03-23,32.2,39.2,25.9,16.1,0.0,0.0,23.0,Clear
2025-03-24,31.4,38.5,24.1,10.4,0.0,0.0,20.9,Partially cloudy
2025-03-25,31.1,38.3,24.4,10.6,0.0,3.2,27.0,Clear
