datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions
2025-03-11,27.6,29.3,26.0,75.3,5.2,96.8,28.1,"Rain, Overcast"
2025-03-12,27.6,29.7,25.2,73.9,0.1,93.5,20.9,"Rain, Partially cloudy"
2025-03-13,28.7,32.0,25.6,71.3,0.0,3.2,25.9,Partially cloudy
2025-03-14,28.6,32.9,25.2,70.3,0.0,0.0,30.6,Partially cloudy
2025-03-15,28.8,32.2,26.3,69.2,0.0,0.0,29.2,Partially cloudy
2025-03-16,28.5,31.7,26.0,69.7,0.0,3.2,22.3,Overcast
2025-03-17,28.4,32.0,25.4,68.9,0.0,0.0,24.8,Partially cloudy
2025-03-18,28.5,32.2,25.4,72.8,0.0,3.2,26.6,Partially cloudy
2025-03-19,28.7,31.8,26.0,72.3,0.0,6.5,28.4,Partially cloudy
2025-03-20,28.9,31.4,26.8,70.3,0.0,9.7,27.4,Partially cloudy
2025-03-21,28.5,30.6,26.7,71.6,0.0,6.5,24.8,Partially cloudy
2025-03-22,28.6,30.4,27.1,74.7,0.1,6.5,20.5,Partially cloudy
2025-03-23,28.8,31.9,26.1,70.9,0.0,3.2,25.9,Partially cloudy
2025-03-24,28.9,32.2,26.0,67.8,0.0,6.5,29.5,Partially cloudy
2025-03-25,29.1,32.0,27.0,69.0,0.0,3.2,28.4,Partially cloudy
