datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions
2025-03-11,26.6,33.3,21.3,62.2,6.6,96.8,28.4,"Rain, Partially cloudy"
2025-03-12,25.7,30.0,22.5,68.1,0.8,96.8,17.3,"Rain, Overcast"
2025-03-13,28.0,35.7,22.3,55.5,0.2,35.5,17.3,Partially cloudy
2025-03-14,28.9,37.2,22.7,60.4,0.1,6.5,21.2,Partially cloudy
2025-03-15,29.0,37.5,23.1,58.4,0.0,3.2,22.3,Partially cloudy
2025-03-16,28.7,37.0,22.7,53.0,0.0,3.2,18.4,Partially cloudy
2025-03-17,28.4,36.1,22.2,51.4,0.0,12.9,19.1,Partially cloudy
2025-03-18,28.7,37.2,22.2,52.4,0.0,12.9,20.9,Partially cloudy
2025-03-19,28.7,37.2,22.4,54.4,0.0,38.7,20.2,Partially cloudy
2025-03-20,28.7,36.2,22.9,52.5,0.0,45.2,20.2,"Rain, Partially cloudy"
2025-03-21,28.8,35.8,22.9,51.2,0.0,45.2,17.3,"Rain, Partially cloudy"
2025-03-22,29.5,36.0,24.4,53.4,0.3,35.5,24.1,Partially cloudy
2025-03-23,29.5,37.3,23.8,53.9,0.3,19.4,17.3,Partially cloudy
2025-03-24,29.5,37.9,23.2,51.9,0.0,19.4,18.7,Partially cloudy
2025-03-25,29.6,38.4,23.2,53.2,0.0,19.4,22.3,Partially cloudy
