datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions
2025-03-11,27.7,36.1,21.0,21.3,0.0,0.0,21.6,Partially cloudy
2025-03-12,28.8,36.3,22.2,20.4,0.0,0.0,22.0,Partially cloudy
2025-03-13,29.8,36.7,23.9,19.6,0.3,3.2,17.6,Partially cloudy
2025-03-14,28.8,35.9,22.8,20.5,0.0,6.5,17.6,Partially cloudy
2025-03-15,28.7,36.5,21.7,24.8,0.1,9.7,20.9,Partially cloudy
2025-03-16,28.5,34.2,23.8,21.5,0.0,6.5,20.5,Clear
2025-03-17,27.1,33.5,20.4,19.1,0.0,0.0,20.9,Partially cloudy
2025-03-18,27.6,34.1,21.4,16.8,0.0,0.0,19.8,Partially cloudy
2025-03-19,29.5,36.2,22.7,12.7,0.0,0.0,11.5,Clear
2025-03-20,29.4,35.3,23.3,13.0,0.0,3.2,18.4,Clear
2025-03-21,28.6,34.4,22.1,15.2,0.0,3.2,9.0,Clear
2025-03-22,30.0,36.7,23.1,11.8,0.0,3.2,11.9,Clear
2025-03-23,30.5,37.3,23.6,9.9,0.0,0.0,16.6,Partially cloudy
2025-03-24,31.2,37.5,24.4,9.4,0.0,0.0,14.8,Clear
2025-03-25,31.1,37.6,25.1,7.3,0.0,0.0,29.5,Clear
