datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions
2025-03-11,27.3,34.1,20.7,42.3,0.0,0.0,17.6,Partially cloudy
2025-03-12,29.5,36.1,23.2,31.8,0.0,0.0,12.2,Partially cloudy
2025-03-13,31.7,37.6,25.2,25.5,0.0,0.0,22.3,Partially cloudy
2025-03-14,32.7,38.3,26.9,19.1,0.0,0.0,16.2,Partially cloudy
2025-03-15,33.0,38.9,27.1,22.1,0.0,0.0,17.3,Clear
2025-03-16,32.5,38.3,27.0,28.1,0.0,0.0,22.3,Clear
2025-03-17,32.5,37.3,28.0,22.1,0.0,0.0,13.7,Partially cloudy
2025-03-18,32.9,38.6,27.0,19.9,0.0,0.0,15.5,Clear
2025-03-19,32.7,38.4,28.4,25.7,0.0,3.2,22.7,Partially cloudy
2025-03-20,31.6,37.9,26.0,35.8,0.0,9.7,23.8,Partially cloudy
2025-03-21,29.9,36.7,23.4,39.9,0.0,9.7,20.5,Partially cloudy
2025-03-22,30.7,37.5,23.5,28.7,0.0,16.1,18.0,Clear
2025-03-23,33.0,39.0,26.4,21.9,0.0,16.1,13.0,Partially cloudy
2025-03-24,34.5,40.1,29.7,21.9,0.0,16.1,20.9,Partially cloudy
2025-03-25,33.1,40.5,29.5,29.7,0.6,6.5,32.8,Partially cloudy
