datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions
2025-03-11,29.5,36.8,23.0,18.6,0.0,0.0,12.2,Clear
2025-03-12,30.7,37.7,23.5,14.7,0.0,0.0,22.7,Clear
2025-03-13,29.5,36.6,23.1,16.0,0.0,0.0,29.9,Clear
2025-03-14,28.6,35.8,21.3,19.9,0.0,0.0,23.8,Clear
2025-03-15,28.9,36.4,21.7,21.6,0.0,0.0,24.8,Clear
2025-03-16,28.0,34.7,21.9,22.5,0.0,0.0,19.1,Clear
2025-03-17,27.9,35.3,21.2,13.3,0.0,0.0,17.3,Clear
2025-03-18,28.5,36.3,21.9,13.0,0.0,0.0,20.5,Partially cloudy
2025-03-19,27.9,34.8,21.1,17.8,0.0,6.5,19.4,Partially cloudy
2025-03-20,27.5,34.2,20.6,19.2,0.0,6.5,22.3,Partially cloudy
2025-03-21,28.4,34.8,21.4,14.2,0.0,3.2,13.3,Partially cloudy
2025-03-22,30.2,37.2,22.8,16.4,0.1,6.5,10.1,Partially cloudy
2025-03-23,31.0,38.1,26.2,15.1,0.0,6.5,24.1,Partially cloudy
2025-03-24,30.0,37.3,23.1,12.3,0.0,3.2,25.2,Partially cloudy
2025-03-25,28.8,36.8,21.6,14.8,0.0,0.0,28.4,Clear
