datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions
2025-03-11,27.4,36.1,19.9,21.5,0.0,0.0,24.5,Partially cloudy
2025-03-12,28.0,36.4,20.0,19.1,0.0,0.0,21.6,Partially cloudy
2025-03-13,28.0,36.3,20.8,17.5,0.0,0.0,24.8,Partially cloudy
2025-03-14,27.8,36.0,20.6,21.1,0.0,0.0,31.7,Partially cloudy
2025-03-15,27.1,34.7,19.8,22.2,0.0,3.2,26.3,Partially cloudy
2025-03-16,25.3,32.5,18.9,23.7,0.0,3.2,22.3,Clear
2025-03-17,25.1,32.3,18.8,18.7,0.0,0.0,20.2,Clear
2025-03-18,25.4,31.1,20.4,15.9,0.0,0.0,22.3,Overcast
2025-03-19,25.9,34.3,18.8,16.1,0.0,3.2,27.4,Clear
2025-03-20,25.5,33.2,18.1,17.4,0.0,3.2,25.2,Partially cloudy
2025-03-21,25.8,33.8,18.7,15.5,0.0,0.0,13.0,Clear
2025-03-22,27.9,35.8,20.6,11.6,0.0,0.0,13.3,Clear
2025-03-23,27.7,36.0,20.6,10.6,0.0,0.0,23.8,Partially cloudy
2025-03-24,27.8,36.1,21.1,10.8,0.0,0.0,24.1,Clear
2025-03-25,25.9,32.4,20.5,10.1,0.0,3.2,29.2,Clear
