datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions
2025-03-11,27.7,37.3,19.0,21.9,0.0,0.0,22.7,Clear
2025-03-12,29.9,39.0,21.7,17.6,0.0,0.0,29.9,Clear
2025-03-13,30.8,39.7,23.0,15.3,0.0,0.0,19.4,Partially cloudy
2025-03-14,30.7,39.8,22.2,16.9,0.0,0.0,12.6,Partially cloudy
2025-03-15,31.4,39.8,24.4,16.6,0.0,0.0,18.4,Overcast
2025-03-16,30.2,37.2,24.1,21.9,1.2,6.5,25.2,Partially cloudy
2025-03-17,28.3,36.2,20.6,14.9,0.0,0.0,27.7,Clear
2025-03-18,28.4,37.0,20.6,14.0,0.0,0.0,31.7,Partially cloudy
2025-03-19,30.8,39.7,23.4,11.1,0.0,3.2,16.6,Partially cloudy
2025-03-20,31.5,39.5,23.9,12.4,0.0,9.7,20.5,Partially cloudy
2025-03-21,31.1,39.0,23.9,12.6,0.0,0.0,14.4,Partially cloudy
2025-03-22,30.8,39.9,22.2,9.1,0.0,0.0,16.2,Clear
2025-03-23,31.9,41.1,23.6,8.6,0.0,0.0,22.7,Clear
2025-03-24,31.1,39.9,22.5,8.5,0.0,0.0,19.1,Clear
2025-03-25,32.1,41.7,23.9,7.9,0.0,3.2,23.4,Clear
