datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions
2025-03-11,28.2,35.7,22.4,38.9,0.0,0.0,20.9,Clear
2025-03-12,28.9,38.2,22.5,47.7,0.0,0.0,25.9,Clear
2025-03-13,30.0,39.2,24.4,58.6,0.0,0.0,26.3,Clear
2025-03-14,30.0,39.1,25.0,67.8,0.0,0.0,26.3,Clear
2025-03-15,30.1,37.6,24.6,66.7,0.0,0.0,26.3,Clear
2025-03-16,29.8,37.4,24.6,67.4,0.0,0.0,24.1,Clear
2025-03-17,29.7,37.9,24.4,66.3,0.0,0.0,28.1,Partially cloudy
2025-03-18,31.2,40.1,24.6,47.4,0.0,0.0,20.2,Partially cloudy
2025-03-19,30.1,38.2,24.6,62.4,0.0,0.0,26.3,Clear
2025-03-20,29.6,36.8,25.1,67.6,0.0,19.4,31.7,Partially cloudy
2025-03-21,30.5,39.0,25.8,64.7,0.4,19.4,27.0,Partially cloudy
2025-03-22,31.6,40.9,25.4,58.1,0.0,9.7,24.8,Clear
2025-03-23,32.4,42.7,25.4,46.9,0.0,6.5,21.2,Clear
2025-03-24,31.7,40.8,26.1,56.8,0.0,6.5,26.3,Partially cloudy
2025-03-25,31.2,38.6,25.9,59.7,0.8,6.5,27.4,Partially cloudy
