datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions
2025-03-11,27.5,36.6,19.0,21.4,0.0,0.0,22.7,Clear
2025-03-12,30.2,38.6,22.3,17.1,0.0,0.0,31.3,Partially cloudy
2025-03-13,31.5,39.7,24.7,14.9,0.0,0.0,19.8,Partially cloudy
2025-03-14,31.0,39.4,22.8,18.3,0.0,0.0,12.2,Partially cloudy
2025-03-15,31.9,39.4,25.3,15.8,0.0,3.2,15.5,Overcast
2025-03-16,30.5,36.1,25.6,21.0,2.1,6.5,21.2,Partially cloudy
2025-03-17,29.7,36.6,23.4,13.2,0.0,0.0,27.0,Clear
2025-03-18,29.6,37.2,22.0,12.2,0.0,0.0,32.4,Partially cloudy
2025-03-19,31.3,39.7,24.5,10.5,0.0,3.2,18.4,Partially cloudy
2025-03-20,32.0,39.8,24.1,11.5,0.0,6.5,15.5,Partially cloudy
2025-03-21,32.1,39.8,25.9,14.1,0.0,3.2,18.0,Partially cloudy
2025-03-22,31.6,39.9,24.2,8.3,0.0,3.2,19.4,Clear
2025-03-23,32.4,41.1,24.3,8.1,0.0,3.2,22.0,Clear
2025-03-24,31.9,40.1,24.1,8.0,0.0,3.2,18.4,Clear
2025-03-25,33.1,41.6,24.4,7.7,0.0,3.2,17.3,Clear
