datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions
2025-03-11,24.0,32.7,18.1,30.1,0.0,0.0,17.6,Partially cloudy
2025-03-12,24.6,34.0,17.1,36.4,0.0,6.5,19.4,Partially cloudy
2025-03-13,24.9,34.7,17.5,39.1,0.1,16.1,22.0,Partially cloudy
2025-03-14,22.8,31.7,16.8,39.9,0.1,16.1,28.4,Partially cloudy
2025-03-15,23.6,34.6,16.2,44.2,0.1,32.3,24.5,Partially cloudy
2025-03-16,22.3,32.1,14.3,47.5,0.1,32.3,20.9,Partially cloudy
2025-03-17,22.7,31.6,15.8,35.4,0.0,3.2,20.2,Clear
2025-03-18,23.9,33.8,14.4,28.6,0.0,0.0,19.8,Partially cloudy
2025-03-19,27.0,37.6,18.1,18.4,0.0,0.0,21.2,Partially cloudy
2025-03-20,24.9,34.4,15.8,24.0,0.2,3.2,22.7,Partially cloudy
2025-03-21,25.0,35.3,15.7,21.6,0.0,3.2,12.2,Clear
2025-03-22,27.4,38.5,18.3,17.3,0.0,3.2,13.7,Partially cloudy
2025-03-23,28.8,38.3,18.7,14.0,0.0,3.2,19.4,Partially cloudy
2025-03-24,27.9,38.1,18.5,13.5,0.0,3.2,18.0,Clear
2025-03-25,27.7,37.9,19.4,11.6,0.1,3.2,27.4,Partially cloudy
