datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions
2025-03-11,28.7,31.0,27.9,59.8,0.0,0.0,22.0,Clear
2025-03-12,28.8,30.3,28.2,60.8,0.0,0.0,25.2,Clear
2025-03-13,27.9,28.2,27.4,68.9,0.0,0.0,17.3,Clear
2025-03-14,27.5,28.8,26.7,67.5,0.0,0.0,25.2,Clear
2025-03-15,27.1,27.6,26.7,68.4,0.0,0.0,26.6,Partially cloudy
2025-03-16,27.0,27.6,26.2,66.7,0.0,0.0,28.8,Partially cloudy
2025-03-17,26.9,27.4,26.6,64.5,0.0,0.0,32.4,Partially cloudy
2025-03-18,26.7,27.3,26.3,62.7,0.0,0.0,28.1,Partially cloudy
2025-03-19,26.9,27.6,26.3,64.9,0.0,0.0,33.5,Partially cloudy
2025-03-20,27.0,27.6,26.1,62.9,0.0,3.2,31.0,Clear
2025-03-21,27.2,27.8,26.7,64.4,0.0,3.2,28.4,Partially cloudy
2025-03-22,27.4,28.0,26.9,66.1,0.0,3.2,31.7,Clear
2025-03-23,27.6,28.2,27.0,66.3,0.0,3.2,33.5,Clear
2025-03-24,27.4,28.1,27.0,69.4,0.0,0.0,23.4,Clear
2025-03-25,27.4,28.0,26.8,65.7,0.0,0.0,22.7,Clear
