datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions
2025-03-11,29.9,37.4,22.0,17.3,0.0,0.0,11.5,Clear
2025-03-12,32.0,39.4,24.7,14.4,0.0,0.0,14.8,Clear
2025-03-13,33.0,41.0,25.4,13.0,0.0,0.0,20.9,Clear
2025-03-14,33.3,40.9,26.5,13.5,0.0,0.0,22.7,Clear
2025-03-15,33.2,40.3,26.1,14.5,0.0,0.0,13.3,Clear
2025-03-16,34.4,40.0,29.9,15.9,0.0,0.0,16.6,Partially cloudy
2025-03-17,33.0,38.1,29.1,15.6,0.0,0.0,18.4,Partially cloudy
2025-03-18,32.8,39.6,25.5,14.3,0.0,0.0,22.0,Clear
2025-03-19,33.5,40.2,26.9,12.9,0.0,3.2,13.2,Partially cloudy
2025-03-20,33.5,39.5,27.5,15.8,0.0,9.7,25.6,Partially cloudy
2025-03-21,32.3,38.8,25.9,30.8,2.3,29.0,31.3,Partially cloudy
2025-03-22,32.4,39.2,27.9,32.7,1.1,29.0,19.4,Partially cloudy
2025-03-23,34.5,41.2,27.8,24.0,0.0,12.9,19.8,Partially cloudy
2025-03-24,35.3,41.0,29.0,14.8,0.0,3.2,22.7,Clear
2025-03-25,34.5,40.7,28.0,12.1,0.0,3.2,17.3,Clear
