datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions
2025-03-11,26.4,35.4,18.5,22.2,0.0,0.0,15.1,Clear
2025-03-12,29.3,39.1,20.5,16.7,0.0,0.0,32.0,Clear
2025-03-13,30.2,39.9,21.4,16.9,0.0,0.0,28.4,Clear
2025-03-14,31.2,40.4,22.9,16.1,0.0,0.0,15.5,Clear
2025-03-15,32.4,41.4,24.1,15.9,0.0,0.0,17.6,Clear
2025-03-16,32.8,40.7,25.1,17.4,0.0,0.0,22.0,Partially cloudy
2025-03-17,32.5,40.9,24.2,17.8,0.0,0.0,29.9,Partially cloudy
2025-03-18,30.6,39.4,21.4,9.7,0.0,0.0,32.4,Partially cloudy
2025-03-19,30.7,39.7,21.7,8.9,0.0,0.0,19.4,Partially cloudy
2025-03-20,32.6,41.6,23.5,10.0,0.0,0.0,11.9,Partially cloudy
2025-03-21,33.4,39.4,28.0,17.4,0.0,3.2,34.9,Partially cloudy
2025-03-22,33.6,42.4,25.3,14.3,0.0,3.2,29.2,Clear
2025-03-23,33.4,42.7,24.1,7.6,0.0,3.2,29.9,Clear
2025-03-24,33.8,43.0,23.8,8.8,0.0,3.2,24.5,Clear
2025-03-25,33.7,43.2,24.2,7.1,0.0,3.2,15.5,Partially cloudy
