datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions
2025-03-11,29.2,35.1,23.3,25.9,0.0,0.0,16.6,Clear
2025-03-12,29.7,37.0,24.3,24.3,0.0,0.0,15.8,Clear
2025-03-13,29.2,36.5,23.8,26.1,0.0,0.0,22.0,Clear
2025-03-14,28.3,36.9,22.1,27.4,0.0,0.0,22.7,Clear
2025-03-15,28.1,36.4,22.0,25.4,0.0,0.0,23.8,Clear
2025-03-16,27.7,35.6,21.6,25.7,0.0,0.0,23.0,Clear
2025-03-17,28.3,36.0,22.5,25.4,0.0,0.0,24.8,Clear
2025-03-18,28.6,37.0,23.1,23.6,0.0,0.0,29.9,Partially cloudy
2025-03-19,28.0,36.4,21.8,22.1,0.0,0.0,26.3,Partially cloudy
2025-03-20,27.8,36.1,21.3,25.9,0.0,3.2,25.2,Clear
2025-03-21,28.9,36.1,23.2,20.7,0.0,9.7,12.2,Clear
2025-03-22,29.4,37.4,23.3,26.2,0.0,9.7,26.6,Clear
2025-03-23,29.6,37.5,23.6,24.1,0.0,9.7,28.1,Clear
2025-03-24,29.7,38.2,23.6,23.8,0.0,9.7,25.9,Clear
2025-03-25,29.0,37.5,22.8,20.1,0.0,3.2,22.0,Clear
