datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions
2025-03-11,32.8,39.0,28.1,21.5,0.0,0.0,22.3,Clear
2025-03-12,32.3,38.8,26.6,25.7,0.0,0.0,17.6,Clear
2025-03-13,30.1,37.2,25.7,39.2,0.0,0.0,21.6,Clear
2025-03-14,29.4,36.5,24.7,40.0,0.0,0.0,20.2,Clear
2025-03-15,28.7,34.4,24.4,42.9,0.0,0.0,20.5,Partially cloudy
2025-03-16,29.0,34.2,25.9,37.9,0.0,0.0,19.1,Partially cloudy
2025-03-17,28.1,34.0,23.6,37.0,0.0,0.0,18.4,Partially cloudy
2025-03-18,27.8,34.0,23.4,41.7,0.0,3.2,16.9,Partially cloudy
2025-03-19,28.2,34.2,24.2,43.4,0.0,6.5,19.4,Partially cloudy
2025-03-20,28.1,34.0,23.3,39.3,0.0,0.0,18.7,Clear
2025-03-21,28.7,34.5,23.1,38.5,0.0,3.2,18.0,Partially cloudy
2025-03-22,30.0,36.5,24.1,29.7,0.0,3.2,20.2,Clear
2025-03-23,30.1,36.2,25.0,32.1,0.0,0.0,19.1,Clear
2025-03-24,29.6,36.6,24.9,38.4,0.0,0.0,19.8,Partially cloudy
2025-03-25,28.8,36.2,24.2,42.3,0.0,3.2,19.1,Clear
