datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions
2025-03-11,33.5,40.8,26.7,15.5,0.0,0.0,15.1,Clear
2025-03-12,33.7,41.2,27.2,14.2,0.0,0.0,23.8,Clear
2025-03-13,32.3,40.4,25.8,15.7,0.0,0.0,23.8,Clear
2025-03-14,31.1,39.6,24.6,26.0,0.0,0.0,19.4,Clear
2025-03-15,29.8,38.0,24.4,29.1,0.1,0.0,22.0,Clear
2025-03-16,30.2,37.0,25.8,22.9,0.0,6.5,21.2,Clear
2025-03-17,29.6,37.1,23.0,11.6,0.0,0.0,13.0,Clear
2025-03-18,29.5,37.3,22.8,22.6,0.0,0.0,22.3,Partially cloudy
2025-03-19,29.5,37.4,23.8,28.2,0.0,3.2,20.9,Partially cloudy
2025-03-20,29.2,36.8,23.3,25.9,0.0,3.2,19.1,Clear
2025-03-21,29.7,37.4,23.3,23.1,0.0,0.0,11.9,Partially cloudy
2025-03-22,31.5,38.9,24.1,15.9,0.0,6.5,14.0,Clear
2025-03-23,32.0,39.4,25.1,15.2,0.0,0.0,22.3,Clear
2025-03-24,31.3,39.0,24.6,18.0,0.0,0.0,22.0,Partially cloudy
2025-03-25,30.3,39.0,23.9,24.8,0.0,0.0,23.0,Clear
