datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions
2025-03-11,26.6,31.0,22.7,58.1,0.0,0.0,16.9,Partially cloudy
2025-03-12,27.5,33.9,22.7,60.9,0.0,0.0,22.7,Partially cloudy
2025-03-13,28.6,35.0,24.4,69.5,0.0,0.0,28.4,Partially cloudy
2025-03-14,28.8,35.0,25.1,68.6,0.0,0.0,29.9,Clear
2025-03-15,28.6,34.3,25.1,69.6,0.0,0.0,29.5,Clear
2025-03-16,28.3,33.5,24.3,68.3,0.0,0.0,25.9,Partially cloudy
2025-03-17,28.4,33.7,24.6,65.8,0.0,0.0,26.3,Partially cloudy
2025-03-18,29.0,34.6,25.7,60.3,0.0,0.0,29.9,Partially cloudy
2025-03-19,28.4,32.6,25.3,70.8,0.0,0.0,27.7,Partially cloudy
2025-03-20,28.2,31.8,25.1,73.3,0.0,3.2,28.8,Partially cloudy
2025-03-21,28.2,32.6,24.6,70.4,0.0,6.5,24.8,Partially cloudy
2025-03-22,28.5,34.0,24.6,64.9,0.0,6.5,21.2,Partially cloudy
2025-03-23,29.3,34.6,25.8,60.4,0.0,6.5,24.8,Partially cloudy
2025-03-24,29.7,34.4,26.5,62.0,0.0,6.5,29.5,Partially cloudy
2025-03-25,29.1,34.1,26.0,68.9,0.0,6.5,27.0,Partially cloudy
