datetime,temp,tempmax,tempmin,humidity,precip,precipprob,windspeed,conditions,City
2025-03-11,28.7,31.0,27.9,59.8,0.0,0.0,22.0,Clear,Mumbai
2025-03-12,28.8,30.3,28.2,60.8,0.0,0.0,25.2,Clear,Mumbai
2025-03-13,27.9,28.2,27.4,68.9,0.0,0.0,17.3,Clear,Mumbai
2025-03-14,27.5,28.8,26.7,67.5,0.0,0.0,25.2,Clear,Mumbai
2025-03-15,27.1,27.6,26.7,68.4,0.0,0.0,26.6,Partially cloudy,Mumbai
2025-03-16,27.0,27.6,26.2,66.7,0.0,0.0,28.8,Partially cloudy,Mumbai
2025-03-17,26.9,27.4,26.6,64.5,0.0,0.0,32.4,Partially cloudy,Mumbai
2025-03-18,26.7,27.3,26.3,62.7,0.0,0.0,28.1,Partially cloudy,Mumbai
2025-03-19,26.9,27.6,26.3,64.9,0.0,0.0,33.5,Partially cloudy,Mumbai
2025-03-20,27.0,27.6,26.1,62.9,0.0,3.2,31.0,Clear,Mumbai
2025-03-21,27.2,27.8,26.7,64.4,0.0,3.2,28.4,Partially cloudy,Mumbai
2025-03-22,27.4,28.0,26.9,66.1,0.0,3.2,31.7,Clear,Mumbai
2025-03-23,27.6,28.2,27.0,66.3,0.0,3.2,33.5,Clear,Mumbai
2025-03-24,27.4,28.1,27.0,69.4,0.0,0.0,23.4,Clear,Mumbai
2025-03-25,27.4,28.0,26.8,65.7,0.0,0.0,22.7,Clear,Mumbai
2025-03-11,27.7,36.1,21.0,21.3,0.0,0.0,21.6,Partially cloudy,Delhi
2025-03-12,28.8,36.3,22.2,20.4,0.0,0.0,22.0,Partially cloudy,Delhi
2025-03-13,29.8,36.7,23.9,19.6,0.3,3.2,17.6,Partially cloudy,Delhi
2025-03-14,28.8,35.9,22.8,20.5,0.0,6.5,17.6,Partially cloudy,Delhi
2025-03-15,28.7,36.5,21.7,24.8,0.1,9.7,20.9,Partially cloudy,Delhi
2025-03-16,28.5,34.2,23.8,21.5,0.0,6.5,20.5,Clear,Delhi
2025-03-17,27.1,33.5,20.4,19.1,0.0,0.0,20.9,Partially cloudy,Delhi
2025-03-18,27.6,34.1,21.4,16.8,0.0,0.0,19.8,Partially cloudy,Delhi
2025-03-19,29.5,36.2,22.7,12.7,0.0,0.0,11.5,Clear,Delhi
2025-03-20,29.4,35.3,23.3,13.0,0.0,3.2,18.4,Clear,Delhi
2025-03-21,28.6,34.4,22.1,15.2,0.0,3.2,9.0,Clear,Delhi
2025-03-22,30.0,36.7,23.1,11.8,0.0,3.2,11.9,Clear,Delhi
2025-03-23,30.5,37.3,23.6,9.9,0.0,0.0,16.6,Partially cloudy,Delhi
2025-03-24,31.2,37.5,24.4,9.4,0.0,0.0,14.8,Clear,Delhi
2025-03-25,31.1,37.6,25.1,7.3,0.0,0.0,29.5,Clear,Delhi
2025-03-11,24.8,31.9,18.4,52.7,0.0,0.0,27.4,Partially cloudy,Bengaluru
2025-03-12,25.7,31.9,20.6,59.2,0.4,16.1,19.1,Partially cloudy,Bengaluru
2025-03-13,27.7,35.1,20.8,43.5,0.0,16.1,20.2,Partially cloudy,Bengaluru
2025-03-14,28.2,35.9,20.8,43.2,0.0,0.0,25.9,Clear,Bengaluru
2025-03-15,28.5,35.7,21.1,40.4,0.0,0.0,24.8,Partially cloudy,Bengaluru
2025-03-16,28.0,35.4,21.3,37.8,0.0,3.2,22.3,Partially cloudy,Bengaluru
2025-03-17,28.4,35.6,21.7,27.7,0.0,6.4,22.7,Partially cloudy,Bengaluru
2025-03-18,28.7,36.3,20.7,32.8,0.0,6.5,23.0,Partially cloudy,Bengaluru
2025-03-19,28.5,35.4,21.5,37.1,0.0,6.5,22.0,Partially cloudy,Bengaluru
2025-03-20,27.9,34.5,22.2,38.0,0.0,9.7,24.5,Partially cloudy,Bengaluru
2025-03-21,27.4,34.3,20.8,38.8,0.0,25.8,19.8,Partially cloudy,Bengaluru
